Q4.1_1,Q4.1_2,Q4.1_3,Q4.1_4,Q4.1_5,Q4.1_6,Q4.1_14,Q4.1_7,Q4.1_16,Q4.1_15,Q4.1_8,Q4.1_9,Q4.2,Q4.3
12,5,4,6,3,1,9,8,2,7,11,10,It doesn't matter,"Supportive,Genuine,Honest"
8,3,5,7,1,2,9,10,12,4,11,6,The same age,"Supportive,Intelligent,Romantic"
2,1,10,6,5,4,8,9,7,3,11,12,The same age,"Supportive,Adventurous,Intelligent"
5,3,10,4,9,2,1,8,6,7,11,12,Older,"Loyal,Respectful,Romantic"
9,6,7,8,2,1,10,5,3,4,12,11,It doesn't matter,"Loyal,Compassionate,Motivated"
5,7,6,2,1,11,3,10,9,8,12,4,Older,"Supportive,Intelligent,Responsible"
7,6,10,9,1,2,3,8,4,5,11,12,Older,"Funny,Intelligent,Responsible"
7,2,9,10,6,1,4,12,5,8,11,3,Older,"Understanding,Respectful,Genuine"
7,2,6,3,5,1,9,11,4,8,12,10,Older,"Respectful,Stylish,Optimistic"
3,4,11,5,8,1,10,9,2,7,12,6,Older,"Patient,Funny,Sociable"
6,5,8,12,2,1,7,11,4,3,10,9,The same age,"Understanding,Respectful,Honest"
2,1,12,8,7,4,9,5,3,6,10,11,It doesn't matter,"Loyal,Supportive,Open-minded"
8,2,9,7,4,1,6,11,3,5,10,12,Older,"Respectful,Compassionate,Genuine"
6,4,8,2,3,1,7,5,9,10,11,12,Older,"Funny,Romantic,Motivated"
10,5,3,7,4,1,9,11,6,2,12,8,It doesn't matter,"Loyal,Respectful,Sociable"
6,1,12,7,5,2,9,8,3,4,11,10,The same age,"Loyal,Compassionate,Genuine"
7,6,8,9,2,1,4,11,3,5,10,12,Older,"Respectful,Open-minded,Independent"
3,4,7,9,5,1,11,12,6,2,8,10,The same age,"Generous,Responsible,Genuine"
9,4,10,8,6,3,2,1,5,7,12,11,The same age,"Respectful,Funny,Sociable"
8,6,9,10,7,1,4,3,2,5,11,12,Older,"Funny,Compassionate,Sociable"
3,2,9,5,6,1,4,10,7,8,11,12,Older,"Supportive,Funny,Compassionate"
6,5,10,8,2,1,4,3,7,9,12,11,Older,"Understanding,Supportive,Respectful"
5,6,7,1,9,3,2,10,4,12,11,8,It doesn't matter,"Loyal,Respectful,Generous"
8,2,5,9,3,1,7,11,6,4,12,10,The same age,"Loyal,Funny,Genuine"
6,1,2,4,3,5,12,10,8,7,11,9,Younger,"Understanding,Stylish,Romantic"
2,8,6,11,7,1,5,9,4,3,10,12,The same age,"Loyal,Compassionate,Open-minded"
4,11,8,9,3,1,7,6,5,2,12,10,Older,"Understanding,Respectful,Honest"
12,5,7,8,3,1,6,9,4,2,11,10,Older,"Loyal,Intelligent,Genuine"
8,6,10,9,4,1,5,7,2,3,12,11,Older,"Loyal,Compassionate,Open-minded"
9,3,10,11,4,1,6,8,5,2,12,7,It doesn't matter,"Understanding,Open-minded,Independent"
5,1,7,9,2,3,6,8,10,4,11,12,The same age,"Loyal,Intelligent,Genuine"
12,4,11,7,3,1,5,6,2,10,9,8,The same age,"Loyal,Understanding,Intelligent"
9,4,8,10,5,1,7,12,2,3,11,6,Older,"Loyal,Supportive,Honest"
9,4,6,5,2,3,11,1,8,7,12,10,Older,"Supportive,Responsible,Sociable"
8,5,9,3,2,1,6,10,12,7,11,4,The same age,"Loyal,Intelligent,Open-minded"
3,6,5,7,4,1,8,11,9,2,10,12,It doesn't matter,"Supportive,Optimistic,Genuine"
8,1,7,6,5,2,11,9,3,4,10,12,The same age,"Loyal,Compassionate,Responsible"
9,3,6,11,5,1,8,7,2,4,12,10,It doesn't matter,"Loyal,Funny,Sociable"
6,1,9,8,7,2,10,12,5,3,11,4,It doesn't matter,"Loyal,Understanding,Adventurous"
8,6,10,9,3,1,5,7,2,4,12,11,The same age,"Respectful,Compassionate,Genuine"
8,5,11,10,4,1,3,7,6,2,9,12,The same age,"Supportive,Romantic,Compassionate"
3,7,5,8,4,2,11,10,1,6,9,12,The same age,"Funny,Intelligent,Romantic"
4,6,2,3,12,5,7,8,10,9,11,1,The same age,"Lebron, James, Ledaddy"
5,2,10,9,6,1,12,7,4,3,8,11,The same age,"Loyal,Understanding,Funny"
7,5,8,9,1,2,11,3,4,6,10,12,The same age,"Intelligent,Motivated,Sociable"
7,8,9,10,3,1,6,2,4,5,11,12,The same age,"Supportive,Respectful,Compassionate"
7,6,9,5,2,1,10,11,3,4,12,8,The same age,"Supportive,Patient,Compassionate"
4,5,9,6,3,1,10,11,8,2,12,7,Older,"Loyal,Compassionate,Genuine"
9,5,8,7,3,1,12,11,4,2,10,6,It doesn't matter,"Loyal,Respectful,Generous"
5,6,8,7,4,2,10,9,1,3,12,11,Older,"Understanding,Patient,Compassionate"
4,5,7,9,6,2,12,1,3,8,11,10,Older,"Understanding,Supportive,Patient"
8,5,6,7,2,1,9,10,3,4,11,12,Older,"Compassionate,Responsible,Open-minded"
12,2,5,10,1,3,8,11,6,7,9,4,It doesn't matter,"Loyal,Intelligent,Responsible"
4,3,6,7,2,1,9,12,8,5,10,11,It doesn't matter,"Loyal,Intelligent,Open-minded"
10,4,6,7,5,1,9,8,3,2,11,12,The same age,"Adventurous,Genuine,Punctual"
7,2,9,8,4,1,10,12,5,3,11,6,Older,"Understanding,Supportive,Compassionate"
5,4,7,8,2,1,9,11,6,3,12,10,Older,"Respectful,Intelligent,Compassionate"
3,8,9,11,5,4,1,2,6,7,10,12,The same age,"Understanding,Supportive,Intelligent"
4,7,6,5,8,1,10,9,2,3,11,12,It doesn't matter,"Loyal,Understanding,Romantic"
